loan_id,customer_id,borrower_name,age,employment_status,annual_income,credit_score,loan_type,loan_amount,interest_rate,loan_term_months,loan_status,disbursement_date,current_balance,monthly_payment
LN76743304,CUST865999,Demetra Santon,21,Full-time,143282,617,Business,61978,4.47,36,Late (31+ days),2023-04-09,20461,591.26
LN12128514,CUST496931,Nadia Heephy,39,Unemployed,97156,820,Auto,47337,9.89,48,Late (31+ days),2024-01-26,33806,821.12
LN16171655,CUST926924,Nevins Wensley,21,Unemployed,81643,612,Home Improvement,24130,4.06,72,Late (16-30 days),2023-08-07,48066,834.03
LN46072335,CUST940073,Alyssa Goding,45,Contract,134295,704,Medical,29711,11.35,12,Late (31+ days),2023-08-03,37177,380.52
LN79870710,CUST943683,Marinna Bramsen,51,Contract,75674,598,Home Improvement,74384,5.41,36,Default,2023-02-24,17325,489.34
LN30179615,CUST892912,Hughie McDiarmid,50,Self-employed,81925,583,Auto,36405,8.87,60,Late (31+ days),2023-04-11,50981,608.15
LN55851315,CUST749079,Carilyn Sheryne,68,Self-employed,130656,743,Medical,57608,11.74,24,Active,2023-07-02,43316,681.98
LN60999653,CUST501376,Krystyna Byk,69,Self-employed,61273,627,Home Improvement,11700,16.72,12,Active,2023-08-13,61256,204.49
LN95030470,CUST679066,Elizabet Rodd,69,Self-employed,122431,619,Debt Consolidation,56480,7.26,72,Late (16-30 days),2024-03-15,69112,680.82
LN17203400,CUST534824,Timmie Karlsson,66,Self-employed,111486,810,Business,67958,4.45,48,Active,2023-09-29,40577,641.61
LN95213250,CUST484005,Duke Vacher,48,Contract,86362,694,Business,40003,12.63,36,Late (31+ days),2024-03-01,44569,345.89
LN88673501,CUST156479,Kiah Fellini,45,Contract,136515,629,Auto,63296,15.86,24,Late (16-30 days),2023-01-23,23960,697.25
LN85836610,CUST489723,Darn Trinkwon,44,Self-employed,68019,642,Home Improvement,46532,17.0,72,Current,2023-08-02,18542,1330.79
LN57779277,CUST597111,Archaimbaud Parnaby,30,Contract,66149,593,Auto,36234,13.35,24,Default,2024-06-15,21995,1020.6
LN42632433,CUST167127,Silvester Darlasson,30,Part-time,75759,630,Medical,49928,10.41,36,Active,2023-05-28,57962,648.67
LN57614572,CUST989537,Mar Siney,26,Full-time,106601,838,Medical,47721,8.66,36,Late (16-30 days),2024-06-09,8800,626.57
LN93684934,CUST856400,Diannne Tumayan,32,Contract,70486,839,Debt Consolidation,35380,6.76,12,Late (31+ days),2024-06-26,16191,433.93
LN53553561,CUST333129,Derk Sangwin,22,Contract,105285,743,Personal,42560,15.43,48,Default,2024-07-19,1246,458.27
LN53477442,CUST792052,Liliane Gianiello,54,Unemployed,57308,612,Business,52541,8.03,12,Late (16-30 days),2024-03-27,67781,1238.13
LN32646025,CUST954799,Blake Van Der Walt,67,Self-employed,86595,572,Personal,12576,13.73,72,Current,2023-04-10,59015,486.84
LN88053106,CUST866294,Sigfrid Cluatt,36,Full-time,141593,722,Business,45009,4.53,12,Late (16-30 days),2023-01-03,38826,782.05
LN72478998,CUST719147,Jilli Bedwell,31,Part-time,73013,843,Personal,51962,8.85,36,Active,2023-08-24,9901,1390.88
LN66968689,CUST470835,Timoteo Whitworth,69,Unemployed,142272,621,Debt Consolidation,29698,10.64,48,Late (16-30 days),2024-05-27,65978,1147.63
LN91532016,CUST222990,Katerina Adicot,48,Contract,145999,831,Personal,6803,7.17,60,Default,2024-05-21,15930,788.75
LN12424132,CUST118444,Boony Meach,35,Contract,39928,601,Auto,28605,4.53,24,Late (31+ days),2023-05-09,54773,332.29
LN56999492,CUST223582,Claire Curbishley,41,Self-employed,90006,563,Medical,54259,6.36,12,Late (31+ days),2023-01-14,55305,354.73
LN75183056,CUST249739,Lacey Kenchington,33,Part-time,148017,706,Home Improvement,58602,8.92,48,Late (31+ days),2023-03-28,59827,912.36
LN29650416,CUST340468,Cesar Crewther,68,Self-employed,30066,832,Personal,16066,11.92,60,Active,2024-03-13,60465,1254.95
LN49051733,CUST311857,Bancroft Scinelli,63,Contract,43974,565,Business,43443,16.03,24,Paid Off,2023-02-28,34795,1295.43
LN12556427,CUST746993,Jared Kroll,26,Contract,148739,586,Auto,41807,14.03,24,Late (31+ days),2023-02-06,12301,561.81
LN35022429,CUST135701,Shari Eates,37,Unemployed,106408,767,Auto,62563,15.46,48,Paid Off,2023-11-11,38404,636.44
LN22604241,CUST916397,Teodora Velten,33,Contract,141381,705,Medical,12560,16.66,24,Late (31+ days),2023-02-02,6926,1064.01
LN50232475,CUST432057,Karoly Gonthier,34,Full-time,97953,827,Medical,25419,18.75,24,Current,2023-02-25,2109,1433.53
LN49963408,CUST318672,Lindsay Laste,39,Contract,86367,674,Home Improvement,64755,6.41,24,Active,2023-04-22,63939,382.17
LN34434150,CUST563911,Myrtie Cranstone,44,Part-time,111104,719,Personal,17565,18.93,24,Default,2024-06-10,31125,980.18
LN68523744,CUST221538,Saxon Sandeford,47,Full-time,107995,738,Medical,48956,6.5,36,Active,2023-04-08,56876,362.19
LN87732373,CUST490872,Dorothea Arens,41,Full-time,123836,637,Business,45056,17.74,36,Current,2024-06-24,59541,337.33
LN99330006,CUST967826,Lydon Fairtlough,35,Contract,117159,740,Medical,70777,6.63,36,Active,2023-03-05,38450,1018.03
LN81178323,CUST598574,Zorine Belison,27,Contract,45704,703,Debt Consolidation,28370,11.34,36,Late (31+ days),2023-11-19,41076,1237.0
LN95857044,CUST148047,Booth Gascoine,52,Unemployed,71289,642,Debt Consolidation,27491,11.48,48,Active,2024-07-03,6106,1001.73
LN95044332,CUST857151,Sonnie Dockwray,23,Unemployed,100729,637,Personal,62444,10.89,60,Active,2023-02-03,60829,1295.93
LN68554522,CUST555109,Camala Ditch,65,Part-time,144694,788,Home Improvement,38702,7.65,60,Active,2023-12-31,52243,398.62
LN20797210,CUST804917,Eva Gabrieli,22,Unemployed,117996,556,Auto,8694,15.69,48,Active,2023-12-15,50925,567.8
LN80902655,CUST910300,Bertine Averies,29,Part-time,117265,844,Debt Consolidation,71153,10.97,24,Current,2023-03-09,12838,585.27
LN12531365,CUST751367,Pammi Romeril,47,Self-employed,120249,797,Debt Consolidation,52242,12.31,60,Paid Off,2023-02-07,62477,185.98
LN61495618,CUST604013,Jedd Hickenbottom,53,Part-time,108850,799,Medical,70574,17.13,36,Paid Off,2023-01-27,62749,1160.09
LN76271331,CUST724686,Binny Novik,67,Contract,33825,607,Auto,23859,15.25,12,Current,2024-07-23,42211,783.84
LN74110874,CUST445994,Baldwin Shevlan,32,Contract,126763,604,Personal,28452,9.76,48,Late (16-30 days),2023-05-25,30054,731.36
LN81407988,CUST884735,Perle Woodison,67,Self-employed,120434,667,Auto,12451,14.33,24,Late (31+ days),2023-09-01,62040,262.25
LN37926584,CUST782702,Karoly Lyford,67,Unemployed,56397,799,Auto,19320,6.8,60,Late (31+ days),2023-12-20,21609,323.24
LN18102649,CUST181344,Dan Pattrick,21,Part-time,91207,661,Home Improvement,52945,16.95,48,Active,2024-03-29,52109,359.92
LN46962673,CUST606645,Herve Finlry,64,Contract,115893,831,Business,14710,18.87,48,Paid Off,2024-01-16,56962,215.07
LN70072191,CUST253078,Constantine Tommeo,36,Self-employed,61618,788,Debt Consolidation,12828,5.42,36,Default,2023-01-16,59575,1372.4
LN98665335,CUST756144,Deva Gierek,30,Part-time,44437,774,Personal,7941,11.21,36,Default,2023-12-15,21415,187.03
LN93113733,CUST275524,Janeta Sutor,42,Unemployed,98148,711,Home Improvement,39647,14.52,48,Active,2023-06-20,55469,1004.38
LN38895663,CUST546045,Danny Hamprecht,21,Self-employed,122417,835,Personal,64831,9.33,36,Default,2024-05-23,64,1060.57
LN71781188,CUST529722,Remington Twitchings,22,Self-employed,106397,751,Personal,5773,4.72,24,Current,2024-05-16,68593,751.27
LN85414852,CUST446192,Keefe Sangwin,40,Full-time,130584,588,Business,42540,6.98,48,Current,2024-05-20,25426,1110.37
LN59460022,CUST746078,Jephthah Strickett,32,Self-employed,98997,816,Medical,60303,9.09,36,Late (31+ days),2024-02-02,30371,1014.5
LN98818501,CUST886316,Dalston Abramcik,40,Full-time,141802,752,Personal,33871,16.75,48,Late (31+ days),2023-06-11,42926,746.02
LN63919541,CUST531805,Tyler Josiah,64,Unemployed,77647,831,Medical,43315,9.3,36,Default,2024-06-13,43392,674.41
LN36500006,CUST908975,Ginni Skelhorne,50,Self-employed,138726,677,Auto,43494,18.51,24,Paid Off,2023-07-13,34691,684.69
LN55908468,CUST291364,Celine Dosedale,27,Part-time,91362,708,Medical,6412,16.89,24,Paid Off,2023-05-21,72,1061.78
LN14075430,CUST876798,Tiphanie Franchi,66,Contract,98877,652,Personal,34976,14.12,24,Late (31+ days),2023-02-18,67371,896.68
LN24836134,CUST503944,Isahella Humpherson,24,Unemployed,125388,748,Auto,31504,12.17,36,Paid Off,2024-05-22,38204,1081.58
LN51148120,CUST169414,Willamina Kears,68,Self-employed,121187,675,Business,49242,8.01,72,Active,2024-01-19,52500,842.3
LN68094045,CUST383608,Madison Decayette,67,Contract,45447,646,Home Improvement,71081,13.59,72,Active,2023-02-26,1966,749.15
LN49697188,CUST772005,Sharron Tomaino,22,Self-employed,123936,769,Personal,71943,10.41,60,Current,2023-10-31,27294,1199.67
LN75246138,CUST134004,Baxter Eubank,65,Self-employed,111896,653,Personal,47946,9.66,60,Active,2023-11-13,56715,637.34
LN24422434,CUST786973,Randell Coltherd,38,Self-employed,113565,738,Personal,30721,11.12,24,Late (16-30 days),2024-05-03,35108,1088.97
LN19154911,CUST503595,Evita Dibley,62,Part-time,108833,617,Auto,60580,17.64,24,Late (16-30 days),2024-04-01,49499,1280.28
LN67402646,CUST205830,Murdoch Shew,31,Contract,54226,589,Personal,11436,4.61,24,Late (16-30 days),2023-06-03,39018,483.34
LN24785279,CUST635913,Pier McCallum,38,Self-employed,116735,761,Personal,64054,12.5,24,Late (16-30 days),2023-11-24,25710,744.76
LN51387679,CUST626143,Althea Dunkinson,57,Unemployed,72299,758,Personal,43015,5.96,24,Late (16-30 days),2023-02-27,3155,397.39
LN13771880,CUST686784,Selene Vannet,33,Unemployed,56747,651,Medical,29137,12.05,72,Paid Off,2023-03-12,13766,967.24
LN41873981,CUST391740,Alisha Duddin,33,Unemployed,87150,580,Business,46116,11.21,36,Default,2024-05-01,36903,287.02
LN65576147,CUST706378,Cirstoforo Grasner,50,Full-time,102693,716,Medical,12266,9.65,60,Late (31+ days),2023-03-24,23448,870.51
LN69093831,CUST845985,Gunther Wile,48,Unemployed,45114,745,Personal,45615,5.03,72,Default,2023-06-21,41820,518.3
LN40001003,CUST972923,Sidney Martinson,29,Self-employed,135925,637,Personal,51925,11.63,48,Late (31+ days),2024-01-09,26108,786.45
LN30136174,CUST521115,Minna Willacot,32,Unemployed,77276,849,Personal,12063,18.52,48,Late (31+ days),2024-04-23,15247,815.55
LN31644831,CUST187243,Kerry Waterfield,55,Full-time,84312,758,Personal,25049,10.14,48,Late (16-30 days),2023-05-04,19900,1361.32
LN93841564,CUST589003,Alexia Thomkins,50,Unemployed,104568,704,Home Improvement,47790,5.84,72,Current,2024-06-27,63774,686.27
LN44074282,CUST402390,Melodee Sheringham,51,Contract,107030,618,Auto,60095,4.42,12,Late (31+ days),2023-07-27,55909,1084.59
LN82733787,CUST129799,Mile Vasilchenko,22,Part-time,47004,599,Personal,5734,18.54,48,Default,2023-09-02,9658,170.6
LN51504405,CUST709063,Dora Hutchison,68,Contract,144597,616,Auto,59711,5.09,60,Active,2023-07-07,49787,1445.98
LN53231151,CUST527462,Vernon Titmuss,40,Part-time,113435,700,Debt Consolidation,32151,12.45,48,Default,2023-09-09,39187,736.46
LN23376691,CUST824616,Kylie Braidley,53,Contract,118164,756,Auto,6333,12.91,12,Default,2023-04-30,59792,1036.62
LN65971412,CUST250423,Rosana Joannet,67,Part-time,63145,651,Business,46545,17.58,36,Default,2024-04-23,19643,1117.51
LN96374333,CUST857626,Bevan Ottee,29,Contract,84916,713,Debt Consolidation,50460,16.15,48,Current,2023-11-02,9355,828.82
LN48922703,CUST352763,Korrie Wiggall,51,Self-employed,91917,574,Auto,71338,11.03,12,Default,2023-11-08,297,541.69
LN34567231,CUST523901,Kali Chasteney,24,Unemployed,134830,568,Auto,40684,11.4,36,Current,2024-04-28,35368,395.73
LN83768811,CUST853223,Lisle Fontel,70,Full-time,139336,641,Personal,26215,18.58,24,Active,2023-04-20,48053,225.3
LN29437170,CUST645192,Ezri Crowley,37,Unemployed,66134,727,Auto,46392,9.9,24,Active,2023-10-22,34208,1326.18
LN14032510,CUST813896,Clyde McGriele,29,Full-time,70657,836,Auto,58595,14.14,36,Current,2023-03-11,63462,1187.37
LN73946072,CUST835099,Aura Coggill,60,Unemployed,51042,712,Business,48277,6.13,24,Late (16-30 days),2024-06-06,68284,773.02
LN19477782,CUST343850,Matthias Klus,68,Unemployed,135749,645,Medical,43591,11.57,72,Late (31+ days),2023-09-27,62243,608.75
LN10893455,CUST147549,Josephine Goshawk,55,Self-employed,84014,679,Home Improvement,43313,18.36,60,Late (31+ days),2023-12-10,33107,373.85
LN27219712,CUST838985,Melesa Shewry,61,Contract,85664,810,Debt Consolidation,57287,13.58,60,Late (16-30 days),2023-03-03,63444,890.69
LN36402921,CUST761978,Avery Fenna,33,Self-employed,131402,830,Home Improvement,45734,14.18,24,Paid Off,2024-04-16,33225,1105.22
LN33804176,CUST837298,Rasla Hebble,62,Full-time,53923,812,Home Improvement,42710,12.45,48,Paid Off,2023-07-30,3717,1168.42
LN48579981,CUST870450,Elana Blouet,49,Self-employed,141741,758,Medical,34876,12.93,36,Late (31+ days),2023-08-19,53184,1258.8
LN42420074,CUST382062,Sancho Huban,25,Self-employed,130777,759,Home Improvement,74034,4.71,12,Paid Off,2023-07-31,33665,233.31
LN53904747,CUST628819,Ermina McGaffey,63,Contract,142252,634,Home Improvement,20222,16.34,72,Late (16-30 days),2023-04-13,9577,1451.45
LN15877073,CUST910362,Matt Dederich,43,Contract,99802,629,Debt Consolidation,36621,6.22,72,Active,2024-01-02,195,1070.56
LN12617948,CUST904322,Farrell Ovell,67,Part-time,70724,753,Business,49315,12.11,24,Current,2024-03-26,17859,167.55
LN50601907,CUST772435,Yorgos Luscott,43,Part-time,68091,746,Auto,46973,15.75,24,Late (31+ days),2024-07-23,54481,639.32
LN85682352,CUST454823,Ibby Maffei,63,Contract,116167,578,Personal,37830,9.51,36,Active,2023-09-27,26258,554.94
LN44597730,CUST567384,Adoree Canadine,63,Self-employed,34835,838,Business,39886,17.82,36,Active,2024-03-03,2565,225.83
LN62839531,CUST728878,Gabrila Meeking,40,Self-employed,80470,575,Home Improvement,29075,12.11,24,Late (16-30 days),2024-04-21,47900,195.12
LN21111718,CUST701613,Marshall Ritchings,28,Contract,103877,833,Debt Consolidation,45072,15.92,24,Default,2023-06-29,45885,259.8
LN63399508,CUST164552,Beauregard Costen,26,Unemployed,35341,749,Debt Consolidation,51823,10.25,36,Current,2023-06-24,18562,1177.02
LN33968124,CUST942245,Amby Kairns,62,Full-time,31857,567,Auto,29797,13.37,12,Late (16-30 days),2024-05-23,40793,1343.02
LN10057433,CUST129766,Kimmy Lenden,69,Contract,112282,667,Business,12115,12.07,48,Active,2023-07-29,42546,1169.77
LN30447026,CUST549988,Ryun Iacopetti,66,Contract,139026,641,Personal,56991,9.42,24,Paid Off,2023-10-18,58415,1282.17
LN35163001,CUST426514,Waylen Theobold,40,Unemployed,109817,833,Auto,54257,7.45,36,Active,2024-04-01,8796,565.12
LN95937031,CUST354960,Nanni Neumann,29,Part-time,41951,713,Home Improvement,47905,8.95,60,Current,2024-03-16,69246,546.69
LN39043821,CUST707097,Dante Grogona,49,Self-employed,87450,575,Personal,45629,13.3,24,Late (31+ days),2023-07-05,51408,890.52
LN71218693,CUST851147,Abe Vogeler,44,Contract,132622,746,Medical,17155,16.68,36,Late (31+ days),2024-01-23,60547,503.36
LN54612995,CUST638122,Keslie Paulillo,58,Full-time,57358,785,Debt Consolidation,14272,6.15,60,Paid Off,2023-01-09,51651,1290.54
LN87431551,CUST706040,Jeffry Dixey,42,Unemployed,97425,662,Home Improvement,65195,6.19,12,Late (31+ days),2023-08-07,26281,655.83
LN68665489,CUST578978,Griffith Brierton,38,Full-time,45333,835,Medical,13359,10.62,36,Current,2023-12-16,43682,728.01
LN25470609,CUST145086,Jemimah Lease,54,Full-time,112582,613,Debt Consolidation,13708,10.29,48,Late (16-30 days),2023-07-05,57180,409.69
LN50173335,CUST510094,Carry Mansel,66,Contract,64687,584,Home Improvement,25444,18.03,72,Late (16-30 days),2023-05-31,21068,755.96
LN61790584,CUST333390,Jessamyn Streeter,54,Part-time,54280,786,Home Improvement,33417,14.75,36,Active,2024-07-18,24274,640.98
LN27961690,CUST230217,Misha Hamp,31,Part-time,149441,797,Debt Consolidation,34311,13.03,36,Late (16-30 days),2023-06-12,25003,1162.72
LN40126891,CUST563943,Lucinda Rossborough,40,Contract,48596,626,Business,65166,16.92,48,Paid Off,2023-05-22,10296,1289.81
LN43220132,CUST779589,Rana Luipold,59,Part-time,139524,573,Debt Consolidation,60659,6.89,48,Paid Off,2023-04-07,20708,1369.27
LN52852556,CUST745202,Giovanna Schooling,62,Part-time,125202,843,Auto,50817,17.45,60,Late (16-30 days),2023-02-02,54442,258.29
LN74665128,CUST596460,Gerhardine Skpsey,49,Unemployed,67562,827,Debt Consolidation,44703,8.74,72,Late (16-30 days),2024-03-02,6289,1265.02
LN26323843,CUST779622,Gertruda Rabbitt,47,Contract,73064,642,Business,71109,5.69,60,Current,2024-06-08,67386,1008.98
LN83054793,CUST891791,Fergus Carrigan,62,Contract,69190,598,Debt Consolidation,8011,15.72,36,Late (16-30 days),2024-03-12,24131,1343.04
LN45834319,CUST650070,Wallie Scollick,56,Self-employed,60035,704,Medical,56206,10.61,36,Active,2024-03-15,26656,1270.75
LN35828421,CUST330338,Robbin Nelane,50,Self-employed,43517,701,Personal,20064,4.4,72,Default,2023-06-12,32654,626.54
LN30525009,CUST889653,Klara Giacomucci,52,Part-time,55475,818,Business,66862,11.73,48,Late (31+ days),2024-06-14,62252,708.23
LN95779002,CUST986078,Drusilla Grieger,59,Unemployed,148014,652,Home Improvement,16499,11.06,12,Current,2023-07-19,44480,172.5
LN58196866,CUST907436,Lizzy Targett,29,Unemployed,138715,734,Business,7974,5.43,72,Active,2024-05-21,2213,1138.24
LN44639074,CUST224989,Raffarty Lyfield,54,Self-employed,42952,808,Auto,35685,15.86,12,Paid Off,2024-07-21,29978,335.92
LN45863093,CUST551178,Corrina Patise,44,Unemployed,136942,837,Personal,58222,12.68,60,Paid Off,2023-06-20,55193,1021.95
LN67703865,CUST608122,Libbi Whates,41,Full-time,37670,580,Debt Consolidation,11058,14.66,60,Default,2024-05-18,12678,444.05
LN61722539,CUST746279,Jerrine Howen,60,Self-employed,114269,643,Home Improvement,57819,4.12,72,Late (31+ days),2023-08-25,53525,345.59
LN87635191,CUST269438,Roana Rubra,65,Part-time,83029,729,Debt Consolidation,73705,9.21,24,Default,2023-01-23,14227,272.59
LN19034640,CUST949112,Ferdy Wadhams,28,Contract,130418,770,Business,56303,5.29,24,Late (31+ days),2023-03-29,1691,1068.21
LN63820043,CUST514362,Michel Ackers,47,Unemployed,41064,575,Auto,66024,4.92,48,Late (16-30 days),2024-05-25,56772,1050.02
LN48789565,CUST415470,Brig Banbridge,33,Part-time,121438,782,Debt Consolidation,21141,13.93,12,Default,2023-05-10,55789,715.21
LN84748727,CUST291816,Curr Halpine,65,Part-time,122480,779,Medical,50138,13.04,36,Active,2023-10-10,14576,658.35
LN86909438,CUST507089,Susannah Neggrini,58,Unemployed,118209,741,Personal,21162,6.48,48,Active,2024-07-06,69139,487.1
LN79347273,CUST374105,Sonia Andreacci,22,Full-time,50137,552,Personal,48739,11.87,72,Paid Off,2023-01-25,39322,1087.17
LN65944288,CUST843904,Giordano Heller,27,Unemployed,74164,754,Auto,44292,16.79,24,Current,2023-04-08,27495,1443.19
LN66530770,CUST426077,Westbrook Carlino,61,Self-employed,80484,725,Debt Consolidation,24194,18.22,72,Default,2023-05-18,28069,628.56
LN42488512,CUST795832,Karisa Mardy,47,Full-time,40937,565,Home Improvement,21477,7.21,72,Paid Off,2024-04-10,35588,1149.51
LN51149955,CUST746639,Zorah Rushford,45,Part-time,87110,640,Business,64770,13.55,60,Late (16-30 days),2023-10-08,23753,696.14
LN62974290,CUST111200,Gaynor Hugett,46,Contract,75670,663,Business,54809,11.15,24,Late (31+ days),2023-12-08,6246,1359.21
LN86699972,CUST886877,Adelind Mattingley,44,Unemployed,64358,608,Debt Consolidation,65548,11.79,60,Paid Off,2023-12-11,65215,1473.23
LN20086074,CUST691992,Barron Speedy,47,Part-time,60959,744,Debt Consolidation,73619,18.57,72,Late (16-30 days),2024-01-14,26114,740.67
LN77333631,CUST479370,Tiphanie Blincow,46,Full-time,44006,770,Business,24520,9.3,48,Late (16-30 days),2023-10-06,24404,1478.95
LN20535277,CUST917050,Tanner Chatan,37,Part-time,82412,730,Personal,30784,17.03,48,Default,2023-07-02,62429,959.08
LN97079947,CUST985642,Nerty Tite,43,Contract,93097,625,Personal,60478,7.76,48,Active,2023-05-30,12043,454.91
LN71955877,CUST478511,Karoly Heigho,21,Unemployed,34460,649,Business,37616,11.54,36,Current,2024-03-21,15500,1372.1
LN94270088,CUST864427,Torre Addenbrooke,40,Self-employed,117071,700,Business,31176,16.21,48,Active,2023-09-22,18119,1381.82
LN18253456,CUST503810,Drake Hambleton,35,Part-time,43110,599,Auto,13714,9.13,60,Active,2023-03-19,27133,1321.57
LN34903211,CUST129209,Donella Arndt,69,Contract,132906,606,Home Improvement,47566,6.3,24,Active,2023-03-31,12312,736.75
LN11385508,CUST145693,Sandy Tewkesbury.,36,Unemployed,50504,579,Auto,38444,17.23,36,Late (31+ days),2024-06-06,57729,1352.57
LN78459020,CUST547954,Shirlee Pendered,69,Contract,72280,755,Business,16753,13.04,24,Default,2024-02-05,43351,974.8
LN98330685,CUST840773,Demetris Brignell,41,Self-employed,88272,621,Personal,55852,13.24,36,Current,2023-11-13,9630,724.33
LN15428871,CUST797235,Fabian Grabert,38,Self-employed,101520,824,Business,62005,9.99,12,Late (16-30 days),2024-05-28,54079,532.94
LN79646476,CUST523952,Adel Fausset,62,Unemployed,122691,780,Medical,30847,15.53,60,Late (31+ days),2023-01-06,31439,1447.77
LN11223181,CUST999260,Suzette Conti,45,Self-employed,91854,768,Personal,17727,10.31,36,Late (31+ days),2024-03-28,44672,1348.87
LN68845811,CUST288915,Donnamarie Gawkroge,42,Unemployed,97272,850,Personal,25133,4.08,48,Current,2024-02-18,41997,809.77
LN54847645,CUST841360,Briny Milhench,25,Part-time,127852,679,Home Improvement,23205,11.92,24,Paid Off,2024-03-09,58078,750.78
LN96015358,CUST386543,Harriott Tosdevin,34,Part-time,70126,749,Medical,39402,9.0,24,Current,2023-11-17,13983,637.64
LN72249971,CUST389242,Emeline Fiddiman,43,Part-time,101530,666,Home Improvement,15921,6.28,36,Late (16-30 days),2023-12-13,52822,162.83
LN19176504,CUST708773,Cash Siddell,34,Contract,48923,648,Business,6627,14.86,48,Active,2023-07-29,42811,1321.59
LN99052335,CUST202962,Kiah Brunskill,46,Part-time,127229,622,Home Improvement,6239,18.06,12,Default,2024-01-18,18276,1238.49
LN60483265,CUST192774,Nilson Sweetmore,44,Contract,45058,733,Debt Consolidation,38041,4.07,36,Current,2024-03-23,21455,819.83
LN78588041,CUST653977,Rog Baldazzi,54,Part-time,107283,557,Auto,39595,5.08,36,Current,2023-04-04,55862,1183.63
LN50207697,CUST389368,Barry Roger,26,Part-time,137559,558,Business,16850,5.06,12,Late (31+ days),2023-01-08,13867,518.25
LN76451189,CUST709802,Evania Donneely,37,Contract,81020,838,Personal,41479,11.2,48,Active,2024-03-12,41402,1179.28
LN55092497,CUST753033,Jacquelynn Hanniger,44,Contract,130667,822,Medical,29054,18.57,60,Late (16-30 days),2023-09-03,902,547.39
LN32634286,CUST937723,Israel Jaffrey,34,Contract,120678,636,Personal,65918,18.99,24,Late (16-30 days),2023-02-10,35323,731.78
LN24390546,CUST881596,Bowie Branno,44,Self-employed,79741,710,Business,54731,13.88,36,Current,2024-07-24,46594,281.43
LN57063246,CUST487711,Trudy Magrane,61,Part-time,34318,799,Debt Consolidation,61900,12.17,24,Current,2023-10-07,23953,541.81
LN23381449,CUST229128,Mahmud Pottberry,58,Contract,52882,789,Medical,29096,9.51,24,Late (16-30 days),2024-02-07,9037,1057.09
LN20501560,CUST596993,Elvyn Thame,43,Part-time,78385,740,Home Improvement,62557,6.1,36,Default,2024-03-20,8995,815.19
LN10327612,CUST444122,Orazio De Bellis,62,Self-employed,51572,571,Business,65846,8.42,24,Current,2023-06-20,41166,1184.42
LN77205470,CUST305926,Silvie Blondell,32,Unemployed,101740,684,Business,62059,8.99,12,Paid Off,2023-07-30,61078,279.26
LN84435077,CUST890037,Hetti Kopisch,59,Part-time,97064,666,Home Improvement,74180,13.99,60,Active,2023-06-16,12382,965.74
LN98019989,CUST565297,Carleen Tibbles,70,Self-employed,103056,788,Auto,31772,9.31,60,Current,2024-01-24,59282,457.23
LN40699363,CUST599362,Alissa Hasker,52,Full-time,144831,746,Home Improvement,46382,9.11,24,Active,2023-04-26,7174,1119.08
LN87508787,CUST144557,Ashien Hubbucke,66,Self-employed,94502,794,Business,39230,4.5,36,Active,2023-08-05,2595,1476.89
LN35640133,CUST103860,Orsola Lackington,68,Full-time,94407,593,Business,16965,15.98,60,Late (16-30 days),2023-10-16,23539,937.73
LN76844722,CUST918213,Lotte Fautley,26,Contract,41557,576,Medical,68270,10.09,36,Current,2023-05-15,67952,402.07
LN77689484,CUST561722,Fayette Innis,33,Part-time,52675,817,Personal,21026,9.54,24,Paid Off,2023-02-26,51006,260.47
LN77305482,CUST568245,Bogart Lavallin,57,Contract,49496,670,Debt Consolidation,56771,14.73,60,Late (16-30 days),2024-03-11,3434,1360.83
LN31158445,CUST592598,Janet Danielou,38,Self-employed,108756,669,Medical,56734,12.21,24,Active,2024-07-10,4628,1049.45
LN92020410,CUST333713,Sidnee McCue,54,Full-time,47351,608,Personal,74123,9.12,12,Late (31+ days),2023-05-17,22850,1396.6
LN30841357,CUST740319,Verile Iannuzzelli,50,Part-time,60034,565,Medical,13035,13.54,60,Default,2024-06-09,67992,500.63
LN41563607,CUST457919,Ashby Fatkin,64,Self-employed,136780,700,Home Improvement,27386,10.04,12,Default,2023-02-22,31875,1122.05
LN34477549,CUST468616,Anette Woodfin,59,Self-employed,31202,812,Business,34647,9.27,12,Default,2023-05-04,16260,867.7
LN50159555,CUST543611,Glennie Usher,39,Full-time,143714,646,Debt Consolidation,21226,5.15,72,Late (16-30 days),2024-01-27,66863,400.26
LN99681142,CUST221736,Rivkah Pingstone,39,Contract,83003,660,Personal,28781,10.73,12,Current,2024-01-10,26151,369.37
LN69568063,CUST380401,Herminia Daft,51,Full-time,59906,777,Debt Consolidation,17189,15.32,36,Late (16-30 days),2023-10-03,50809,607.53
LN26704958,CUST997969,Crysta Measham,21,Unemployed,68568,737,Debt Consolidation,5958,14.13,12,Current,2023-06-11,54977,1104.7
LN95819524,CUST678258,Meade Starten,46,Full-time,52472,569,Debt Consolidation,28073,11.66,36,Late (16-30 days),2024-07-06,18675,792.12
LN18001351,CUST479808,Nicky Pavie,26,Full-time,42274,751,Personal,73712,14.36,12,Paid Off,2024-06-21,38229,866.88
LN79775307,CUST915039,Annissa Armstead,55,Full-time,117264,679,Debt Consolidation,24267,8.27,24,Late (16-30 days),2023-12-21,42073,1000.53
LN79890253,CUST555372,Andreas Loukes,23,Full-time,139163,581,Debt Consolidation,68073,13.74,60,Current,2023-02-08,22310,655.9
